LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
6.1126379,49.6177641,131,Rue Jean-François Boch,,Luxembourg,,,1244,21156,6afe1b603828ff41
6.1125852,49.5890449,12,Kohlenberg,,Luxembourg,,,1870,3851,882522413916fe46
6.1070897,49.5132309,4,Rue du Verger,,Bettembourg,,,3283,176386,94e57a5885c1ec88
5.9753393,49.4983298,39,Rue de l'Usine,,Esch-sur-Alzette,,,4340,63692,b784d0c140d21b8b
6.0008885,49.8335512,17,Floetz,,Mertzig,,,9168,138736,706aad2336e46d8a
6.2822185,49.8203225,5,Rue du Hallerbach,,Haller,,,6370,158610,1fc9c27a5e2b6230
6.2429961,49.647512,116,Um Trenker,,Senningen,,,6962,224385,b28e93e4cfa97141
6.0287162,49.5061132,11,Schefflengerbierg,,Schifflange,,,3825,94191,da472e24003e59b1
6.1218199,49.649546,56,Rue Michel Rodange,,Bereldange,,,7248,115207,8b4075988fa2a1e5
6.1140443,49.6097647,18,Rue des Franciscaines,,Luxembourg,,,1539,15890,5ca08b66b416d878
6.0968269,49.8332034,6,Impasse Witry,,Schieren,,,9125,139421,4fb0d5f2c27bd040
6.0811121,49.9491513,57,Haaptstrooss,,Hoscheid,,,9376,138234,3dc3136f0d1bf5c8
6.1297082,49.6640965,28,Rue Paul Elvinger,,Helmsange,,,7246,116154,9bcf4d1e6580ab23
6.0550499,50.0958453,48,Hauptstrooss,,Hupperdange,,,9755,210163,3b5f7eb931fb1d2a
6.1002345,49.6160098,271,Route d'Arlon,,Luxembourg,,,1150,4919,af62791857b3abb3
5.8786273,49.5529483,57,Route de Niederkorn,,Pétange,,,4762,78001,343843f93eb88d8b
6.1252776,49.6203827,12,Rue Guillaume Schneider,,Luxembourg,,,2522,20148,008bf7d711cd4b0c
6.1611695,49.8701435,1,Rue du Moulin,,Diekirch,,,9258,192221,106bdd6d742bd8b4
6.1606743,49.8681848,22,Rue de l'Etoile,,Diekirch,,,9229,132020,9779e86f6c78588d
5.7604876,49.8277276,2,Rue de Martelange,,Wolwelange,,,8833,143161,8183bd03f31e3118
6.3661801,49.4734199,31,Wäistrooss,,Schengen,,,5445,171698,ed1fba5d89c464aa
6.3777008,49.5524551,10,Rue des Bâteliers,,Remich,,,5511,172776,5473842183f71520
6.1151207,49.6133499,20,Val Ste Croix,,Luxembourg,,,1370,26479,08187b028c30beb1
6.4725436,49.7827653,4,Rue de Boursdorf,,Dickweiler,,,6557,157606,bb1f2cd90db77562
6.2473168,49.7138491,5,Rue Kremerich,,Junglinster,,,6133,163467,bb71efdcd99f75de
6.1309311,49.5938245,10,Rue Julien Vesque,,Luxembourg,,,2668,22066,0f0861644ce3b35c
5.95318,49.7973563,18,Rue St. Roch,,Reimberg,,,8614,141259,3a95adf1acec5546
5.9760209,49.4989801,36,Rue de l'Usine,,Esch-sur-Alzette,,,4340,63737,f374b589666a02b8
6.1490664,49.867044,8,Rue du Cimetière,,Diekirch,,,9215,132354,f601194a29137766
5.9948152,49.5753346,64,Route des Trois Cantons,,Bettange-sur-Mess,,,4970,30251,e1d4eecd9342d11b
6.2685181,49.8653858,2,Rue de Beaufort,,Reisdorf,,,9391,197075,0bd990841d312777
5.9330781,49.9672138,15,Avenue Nicolas Kreins,,Wiltz,,,9536,149301,4e40f99b4bae5899
6.365815,49.600794,24,Rue de Canach,,Lenningen,,,5430,193697,fdf716a02a57f69f
5.8984333,50.0462095,18A,Maison,,Hamiville,,,9752,193022,321b5b67f3d708e3
6.032611,49.6696798,14,Rue du Centre,,Kehlen,,,8282,33886,b8f7e8ad13240f22
6.0670591,49.6201475,2B,Rue Anne Beffort,,Strassen,,,8098,233946,7bacfd5413f93501
6.1322598,49.6544038,66,Rue de l'Eglise,,Walferdange,,,7224,116626,2b13ecb8ac363b99
5.9015224,49.8396167,60,Rue Principale,,Wahl,,,8838,176121,6d771981248085da
5.9224152,49.5030494,20,Rue Marguerite Thomas-Clement,,Belvaux,,,4429,186913,bdbd09d5dee758dc
6.2291234,49.5824077,10,In der Grof,,Contern,,,5322,98602,d8bc364800791fc2
5.923826,49.6628166,2,Rue des Genêts,,Steinfort,,,8447,41229,7a9f8e3f3202ad5c
6.1178979,49.6227164,14,Rue Jean-Baptiste Fresez,,Luxembourg,,,1542,21035,091616121bbc8450
6.0316357,49.5314018,55,Grand-Rue,,Pontpierre,,,4393,76038,fc163b6353602b24
6.0788048,49.6195779,118,Route d'Arlon,,Strassen,,,8008,112347,82b146a4faa5ca1f
6.0742198,49.7907788,57,Rue des Moulins,,Bissen,,,7784,118576,a36d7d3f6142d678
6.1535048,49.5973405,261,Rue d'Itzig,,Luxembourg,,,1815,9082,5ea0df28f48b14bd
6.0030915,49.72004,4A,Rue de Luxembourg,,Tuntange,,,7480,215543,96dd70ab9f1f6188
6.0096009,49.7512244,15,Helperterwee,,Buschdorf,,,7418,119435,e16df07528a4a6fb
6.1368019,49.6660831,27A,Rue Jean Mercatoris,,Helmsange,,,7237,116117,c56c21916fa21c3a
6.1413926,49.5700512,25,Op der Hobuch,,Fentange,,,5832,100836,bce0684f2001a7c1
6.0835818,49.9032941,2,Bramillen,,Michelau,,,9172,223618,8fd04e8eb154c2d7
6.0473295,49.6056937,7,Rue Alphonse Munchen,,Bertrange,,,8082,96558,940cc2734a18cc6f
6.1421465,49.6138415,19,Montée de Clausen,,Luxembourg,,,1343,3955,28766cfa1f62581c
5.8726649,49.8129414,8,Rue de Hostert,,Folschette,,,8835,175021,1f8cbe811db3e082
6.3519609,49.6177395,50,Burgaass,,Gostingen,,,5425,160561,f139e084f47f8880
6.0348838,49.47534,19,Rue de la Gare,,Tétange,,,3771,72263,ce49d4b5870a1d2d
6.0588552,49.5185104,35,Rue de la Résistance,,Huncherange,,,3340,44683,2ea62c507f2bc279
6.3212408,49.8375297,9A,Route de Dillingen,,Grundhof (Beaufort),,,6360,217117,b2c7e35c808f6733
5.9156276,49.5656128,9,Rue Dicks-Lentz,,Bascharage,,,4952,27922,23ebe1faface90e7
5.9227699,49.6629903,4,Rue des Aubépines,,Steinfort,,,8448,41182,1e042bbb10844004
6.0847002,49.4794859,7,Rue Jean Jaurès,,Dudelange,,,3490,58362,ab8095db8dba23fb
6.2351182,49.6524166,25,Um Charly,,Senningerberg,,,1670,107470,63436ee279de9a5d
6.1598167,49.8678006,36,Grand-Rue,,Diekirch,,,9240,131374,5102947b441567ab
5.942376,49.5164468,83,Rue Michel Rodange,,Soleuvre,,,4482,93152,ea56396428f6ffb6
6.085397,49.47085,21,Rue de l'Hôpital,,Dudelange,,,3488,55608,565cb69fce50fee8
5.9921202,49.5086936,16,Rue Aline de Saint-Hubert,,Esch-sur-Alzette,,,4139,181243,378c21b6732ecb41
5.8735293,49.5545948,2,Rue Neuve,,Pétange,,,4759,79968,c1f98580a4fd2132
6.1199867,49.6130552,58,Boulevard Grande-Duchesse Charlotte,,Luxembourg,,,1330,2587,c407f5ae652af549
6.3165573,49.5057116,2,Op der Zoepp,,Elvange (Schengen),,,5692,228780,a2e7a3aa81264f5c
6.0807803,49.6569037,37,Rue de l'Ecole,,Bridel,,,8128,234299,a23026dcc555b89a
5.9408447,49.9724601,6,Rue Knupp,,Weidingen,,,9535,149217,c7bc226a8741e1d0
6.0236973,49.6313046,19,Rue Cunégonde,,Mamer,,,8221,193611,c4cade32c9f9b722
6.1299161,49.6102762,40,Place Guillaume II,,Luxembourg,,,1648,4644,3043d3fc409f9bb4
5.8854151,49.5224025,14,Rue J.-F. Kennedy,,Differdange,,,4599,50293,fdfb955cc318a9e1
5.9826936,49.4915051,6,Dieswee,,Esch-sur-Alzette,,,4080,61456,0abc2d502a07417f
5.9142983,49.6563579,48,Rue de Kleinbettingen,,Steinfort,,,8436,40949,7979c4dc4c8d03c8
5.8862709,49.5243549,53,Rue des Jardins,,Differdange,,,4591,48971,5c543a8ccdef09c8
6.1572146,49.6207239,50,Rue des Eglantiers,,Luxembourg,,,1457,15778,25373001e01db511
6.0605458,50.0530396,16,Haaptstrooss,,Marnach,,,9764,128514,0fde030b4feef212
6.4438511,49.6785011,19,Rue des Tisserands,,Grevenmacher,,,6792,161763,cb06ac8475208f35
